employee_id,institution_id,institution_size,project_id,team_id,manager_id,job_role_id,duration_weeks,relative_effort,team_size,project_complexity,performance_score,predicted_performance_score,performance_class,predicted_performance_class,avg_overall_behavior_rating,overall_behavior_pattern,communication_pattern,collaboration_pattern,leadership_pattern,learning_pattern,productivity_pattern,manager_rating,peer_rating,subordinate_rating,overall_rating_avg,rating_variance,bias_flag,bias_type,fairness_score,text_bias_score,group_bias_score,manager_peer_gap,manager_subordinate_gap,peer_subordinate_gap,performance_rating_gap,behavior_performance_gap,conflict_score,conflict_flag,conflict_type,manager_dominance_score,peer_convergence_score,subordinate_suppression_score,social_protection_score,power_distance_risk_score,power_distance_risk,opinion_dynamics_pattern,culture_pattern,arbitration_decision,final_recommended_score,final_recommended_class,decision_explanation
E036,I03,large,P005,T05,E027,DevOps,24,500,10,2.5,76.98,75.82,High,High,4.466666667,Collaborative Leader,Moderate Communication Pattern,Strong Team Collaboration Pattern,Strong Leadership Pattern,Active Learning Pattern,High Productivity Pattern,4.8,4.2,4.4,4.47,0.09,0,No Major Bias Detected,84.35,0.13,0.06,-0.6,-0.4,-0.2,-12.42,-12.35,18,0,No Major Conflict,35.2,53,29.98,3.86,32.91,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,83.41,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 32.91. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E037,I03,large,P006,T06,,PM,10,180,5,3.6,65,65.29,Medium,Medium,2.866666667,Communication Development Required,Communication Improvement Needed,Collaboration Support Needed,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3.4,2.6,2.6,2.87,0.21,1,Possible Manager Overrating Bias; Possible Textual Subjectivity Bias,68.65,0.41,0.04,-0.8,-0.8,0,7.6,7.67,34.01,1,Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict,37.5,58,16.4,0,29.44,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,62.67,Medium,Conflict type: Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 29.44. Bias status: Possible Manager Overrating Bias; Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E038,I03,large,P006,T06,E037,SE,10,180,5,3.6,66.92,67.34,Medium,Medium,2.933333333,Balanced Contributor,Moderate Communication Pattern,Strong Team Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,2.4,3.2,3.2,2.93,0.21,1,Possible Manager Underrating Bias; Possible Textual Subjectivity Bias,65.3,0.48,0.09,0.8,0.8,0,8.32,8.25,34.35,1,Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict,40.15,58,20.5,7.2,32.66,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Adjust Manager Weight,66.28,Medium,Conflict type: Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.66. Bias status: Possible Manager Underrating Bias; Possible Textual Subjectivity Bias. Final recommendation: Adjust Manager Weight.
E039,I03,large,P006,T06,E037,SE,10,180,5,3.6,66.75,65.8,Medium,Medium,4.666666667,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,4.4,4.8,4.8,4.67,0.05,0,No Major Bias Detected,84.8,0.16,0.11,0.4,0.4,0,-26.65,-26.58,22.31,0,Performance-Appraisal Conflict; Behavior-Performance Conflict,36.8,54,36.82,19.69,37.68,Moderate,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,81,High,Conflict type: Performance-Appraisal Conflict; Behavior-Performance Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Moderate with score 37.68. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E040,I03,large,P006,T06,E037,QA,10,180,5,3.6,65.57,65.13,Medium,Medium,4.133333333,Learning-Oriented Contributor,Clear and Responsive Communicator,Moderate Collaboration Pattern,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,4.4,3.8,4.2,4.13,0.09,0,No Major Bias Detected,79.25,0.32,0.1,-0.6,-0.2,-0.4,-17.03,-17.1,18.33,0,No Major Conflict,35.2,50,28.26,5.74,32.04,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,75.13,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.04. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E041,I03,large,P006,T06,E037,DevOps,10,180,5,3.6,65.88,66.06,Medium,Medium,3.466666667,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Strong Leadership Pattern,Low Learning Engagement,Stable Productivity Pattern,3.2,3.6,3.6,3.47,0.05,0,No Major Bias Detected,82.4,0.24,0.11,0.4,0.4,0,-3.52,-3.45,10.75,0,No Major Conflict,37.36,54,16.95,6.97,29.67,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,70.58,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 29.67. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E042,I04,medium,P007,T07,,PM,6,100,4,4.2,60.97,61.58,Medium,Medium,3.8,Balanced Contributor,Moderate Communication Pattern,Strong Team Collaboration Pattern,Emerging Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,4,3.8,3.6,3.8,0.04,1,Possible Textual Subjectivity Bias,78.8,0.48,0.04,-0.2,-0.4,0.2,-15.03,-15.03,24.32,0,Bias-Linked Conflict,38.4,51,17.92,8.27,30.11,Low,Mixed or Weak Opinion Dynamics Signal,Biased Evaluation Culture,Accept Evaluation,70.55,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 30.11. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E043,I04,medium,P007,T07,E042,SE,6,100,4,4.2,63.9,64.22,Medium,Medium,3.466666667,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.2,3.8,3.4,3.47,0.09,0,No Major Bias Detected,81.1,0.3,0.05,0.6,0.2,0.4,-5.5,-5.43,12.54,0,No Major Conflict,35.2,50,13.9,12.05,27.65,Low,Healthy Consensus Pattern,Biased Evaluation Culture,Accept Evaluation,69.52,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 27.65. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E044,I04,medium,P007,T07,E042,SE,6,100,4,4.2,73.62,72.92,Medium,Medium,3.266666667,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3,3.6,3.2,3.27,0.09,1,Possible Textual Subjectivity Bias,78.65,0.39,0.04,0.6,0.2,0.4,8.22,8.29,23.92,0,Bias-Linked Conflict,39.77,50,12.97,5.4,28.49,Low,Mixed or Weak Opinion Dynamics Signal,Biased Evaluation Culture,Accept Evaluation,71.32,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 28.49. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E045,I04,medium,P007,T07,E042,QA,6,100,4,4.2,71.47,69.93,Medium,Medium,3.533333333,Teamwork Development Required,Clear and Responsive Communicator,Collaboration Support Needed,Emerging Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,4.2,3.2,3.2,3.53,0.33,1,Possible Manager Overrating Bias,67.95,0.21,0.06,-1,-1,0,0.87,0.8,37.02,1,Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict,34.24,60,14.72,0,27.85,Low,Mixed or Weak Opinion Dynamics Signal,Biased Evaluation Culture,Accept with Monitoring,70.43,Medium,Conflict type: Manager-Peer Conflict; Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 27.85. Bias status: Possible Manager Overrating Bias. Final recommendation: Accept with Monitoring.
E046,I04,medium,P008,T08,,PM,14,250,6,3,62.22,64.06,Medium,Medium,3.2,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Emerging Leadership Pattern,Low Learning Engagement,Stable Productivity Pattern,3.2,3,3.4,3.2,0.04,1,Possible Textual Subjectivity Bias,81.85,0.44,0.03,-0.2,0.2,-0.4,-1.78,-1.78,15.69,0,Bias-Linked Conflict,39.07,46,15.92,0,28.1,Low,Healthy Consensus Pattern,Biased Evaluation Culture,Accept Evaluation,66.86,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 28.1. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E047,I04,medium,P008,T08,E046,SE,14,250,6,3,71.23,71.02,Medium,Medium,3.066666667,Communication Development Required,Communication Improvement Needed,Collaboration Support Needed,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3.4,3,2.8,3.07,0.09,1,Possible Textual Subjectivity Bias,75.85,0.43,0.04,-0.4,-0.6,0.2,9.83,9.9,26.73,1,Bias-Linked Conflict,41.14,53,12.17,0,28.67,Low,Mixed or Weak Opinion Dynamics Signal,Biased Evaluation Culture,Accept with Monitoring,68.21,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 28.67. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E048,I04,medium,P008,T08,E046,SE,14,250,6,3,58.98,60.02,Medium,Medium,3.066666667,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,2.8,3.4,3,3.07,0.09,1,Possible Textual Subjectivity Bias,71.7,0.63,0.03,0.6,0.2,0.4,-2.42,-2.35,21,0,Bias-Linked Conflict,36.09,50,13.62,10.36,27.74,Low,Mixed or Weak Opinion Dynamics Signal,Biased Evaluation Culture,Accept with Monitoring,62.48,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 27.74. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E049,I04,medium,P008,T08,E046,SE,14,250,6,3,69.47,68.92,Medium,Medium,3.333333333,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3.4,3.4,3.2,3.33,0.01,1,Possible Textual Subjectivity Bias,84.55,0.42,0.04,0,-0.2,0.2,2.87,2.8,13.62,0,Bias-Linked Conflict,40.88,49,10.34,0,27.32,Low,Healthy Consensus Pattern,Biased Evaluation Culture,Accept Evaluation,71.35,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 27.32. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E050,I04,medium,P008,T08,E046,QA,14,250,6,3,61.4,61.76,Medium,Medium,4.066666667,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,4,4,4.2,4.07,0.01,0,No Major Bias Detected,92,0.18,0.03,0,0.2,-0.2,-20,-19.93,12.19,0,Performance-Appraisal Conflict,40,49,23.8,10.23,32.7,Low,Healthy Consensus Pattern,Biased Evaluation Culture,Accept Evaluation,75.5,High,Conflict type: Performance-Appraisal Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 32.7. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E051,I04,medium,P008,T08,E046,DevOps,14,250,6,3,66.32,66.74,Medium,Medium,3.533333333,Learning-Oriented Contributor,Moderate Communication Pattern,Strong Team Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3.2,3.4,4,3.53,0.17,1,Possible Textual Subjectivity Bias,76.5,0.35,0.03,0.2,0.8,-0.6,-4.28,-4.35,25.55,1,Manager-Subordinate Conflict; Bias-Linked Conflict,39.1,49,25.72,2.72,32.26,Low,Mixed or Weak Opinion Dynamics Signal,Biased Evaluation Culture,Accept with Monitoring,70.08,Medium,Conflict type: Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.26. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E052,I05,small,P009,T09,,PM,5,80,3,5,64.5,65.08,Medium,Medium,2.666666667,Communication Development Required,Communication Improvement Needed,Collaboration Support Needed,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,2.2,3,2.8,2.67,0.17,1,Possible Textual Subjectivity Bias,70.15,0.43,0.06,0.8,0.6,0.2,11.1,11.17,32.96,1,Manager-Peer Conflict; Bias-Linked Conflict,41.1,55,17.59,7.2,31.57,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,61.17,Medium,Conflict type: Manager-Peer Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 31.57. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E053,I05,small,P009,T09,E052,SE,5,80,3,5,68.43,68.16,Medium,Medium,3.533333333,Teamwork Development Required,Clear and Responsive Communicator,Collaboration Support Needed,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3.2,3.8,3.6,3.53,0.09,0,No Major Bias Detected,79.25,0.3,0.06,0.6,0.4,0.2,-2.17,-2.24,12.9,0,No Major Conflict,36.53,53,17.76,9.56,29.73,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,71.48,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 29.73. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E054,I05,small,P009,T09,E052,DevOps,5,80,3,5,64.18,65.02,Medium,Medium,2.933333333,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.4,3.2,2.2,2.93,0.41,1,High Multi-Source Rating Disagreement; Possible Textual Subjectivity Bias,66.2,0.37,0.05,-0.2,-1.2,1,5.58,5.51,34.98,1,Manager-Subordinate Conflict; Bias-Linked Conflict,38.45,47,16.69,0,28.27,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,62.37,Medium,Conflict type: Manager-Subordinate Conflict; Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 28.27. Bias status: High Multi-Source Rating Disagreement; Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E055,I05,small,P010,T10,,PM,8,120,4,3.8,72.77,71.02,Medium,Medium,2.666666667,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Emerging Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,2.8,2.2,3,2.67,0.17,1,Possible Textual Subjectivity Bias,64.65,0.79,0.04,-0.6,0.2,-0.8,19.37,19.44,31.1,1,Bias-Linked Conflict,48.86,44,19.52,0,32.98,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,63.38,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 32.98. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E056,I05,small,P010,T10,E055,SE,8,120,4,3.8,63.62,64.2,Medium,Medium,2.6,Teamwork Development Required,Clear and Responsive Communicator,Collaboration Support Needed,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,2.6,2.6,2.6,2.6,0,1,Possible Textual Subjectivity Bias,84.35,0.48,0.05,0,0,0,11.62,11.62,15.81,0,Bias-Linked Conflict,46.97,50,13.19,0,30.9,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,63.12,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 30.9. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E057,I05,small,P010,T10,E055,SE,8,120,4,3.8,66.08,65.72,Medium,Medium,3.466666667,Teamwork Development Required,Moderate Communication Pattern,Collaboration Support Needed,Emerging Leadership Pattern,Low Learning Engagement,Stable Productivity Pattern,3.2,3.4,3.8,3.47,0.09,0,No Major Bias Detected,82.4,0.24,0.07,0.2,0.6,-0.4,-3.32,-3.25,11.45,0,No Major Conflict,39.02,50,20.45,2.86,30.55,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,70.66,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 30.55. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E058,I05,small,P010,T10,E055,QA,8,120,4,3.8,70.25,69.69,Medium,Medium,3.533333333,Communication Development Required,Communication Improvement Needed,Strong Team Collaboration Pattern,Low Leadership Visibility,Moderate Learning Pattern,Stable Productivity Pattern,3.8,3.6,3.2,3.53,0.09,0,No Major Bias Detected,83.5,0.22,0.05,-0.2,-0.6,0.4,-0.35,-0.42,9.99,0,No Major Conflict,38.4,50,9.28,0.96,26.2,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,73.06,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 26.2. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E059,I06,medium,P011,T11,,PM,18,350,8,2.4,67.78,67.22,Medium,Medium,3.733333333,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3.2,3.8,4.2,3.73,0.25,0,No Major Bias Detected,74.05,0.18,0.06,0.6,1,-0.4,-6.82,-6.89,24.42,0,Manager-Subordinate Conflict,36.33,54,30.08,9.92,34.15,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,71.78,Medium,Conflict type: Manager-Subordinate Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 34.15. Bias status: No Major Bias Detected. Final recommendation: Accept with Monitoring.
E060,I06,medium,P011,T11,E059,SE,18,350,8,2.4,62.6,63.77,Medium,Medium,2.733333333,Communication Development Required,Communication Improvement Needed,Collaboration Support Needed,Emerging Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,2.4,2.8,3,2.73,0.09,1,Possible Textual Subjectivity Bias,72.45,0.51,0.08,0.4,0.6,-0.2,8,7.93,25.79,1,Bias-Linked Conflict,43.16,53,16.21,3.6,31.25,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,61.39,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 31.25. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E061,I06,medium,P011,T11,E059,SE,18,350,8,2.4,63.08,63.96,Medium,Medium,3.2,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.2,3.4,3,3.2,0.04,1,Possible Textual Subjectivity Bias,77.35,0.54,0.09,0.2,-0.2,0.4,-0.92,-0.92,15.26,0,Bias-Linked Conflict,38.4,46,10.5,4.51,26.39,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,66.3,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 26.39. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E062,I06,medium,P011,T11,E059,SE,18,350,8,2.4,60.28,61.48,Medium,Medium,4,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Emerging Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,4,4.2,3.8,4,0.04,0,No Major Bias Detected,85.1,0.29,0.08,0.2,-0.2,0.4,-19.72,-19.72,14.66,0,No Major Conflict,38.4,46,19.21,14.85,30.47,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,73.13,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 30.47. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E063,I06,medium,P011,T11,E059,SE,18,350,8,2.4,68.37,69.04,Medium,Medium,3.866666667,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Low Learning Engagement,Stable Productivity Pattern,4,4,3.6,3.87,0.05,0,No Major Bias Detected,83.6,0.34,0.07,0,-0.4,0.4,-9.03,-8.96,9.5,0,No Major Conflict,40,48,16.24,6.4,29.52,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,75.01,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 29.52. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E064,I06,medium,P011,T11,E059,QA,18,350,8,2.4,65.32,65.7,Medium,Medium,2.8,Balanced Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,2.8,3.2,2.4,2.8,0.16,1,Possible Textual Subjectivity Bias,75.6,0.4,0.08,0.4,-0.4,0.8,9.32,9.32,25.86,1,Bias-Linked Conflict,39.99,42,14.54,3.6,27.74,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept with Monitoring,63.65,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 27.74. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept with Monitoring.
E065,I06,medium,P011,T11,E059,QA,18,350,8,2.4,64.68,64.76,Medium,Medium,4.133333333,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,4.2,4,4.2,4.13,0.01,0,No Major Bias Detected,88.7,0.24,0.09,-0.2,0,-0.2,-17.92,-17.99,11.17,0,No Major Conflict,38.4,49,24.96,8.43,32.29,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,76.67,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 32.29. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E066,I06,medium,P011,T11,E059,DevOps,18,350,8,2.4,73.27,73.31,Medium,Medium,4.533333333,Balanced Contributor,Clear and Responsive Communicator,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,4.4,4.6,4.6,4.53,0.01,0,No Major Bias Detected,89.75,0.16,0.08,0.2,0.2,0,-17.33,-17.4,12.88,0,No Major Conflict,38.4,52,31.59,12.1,35.43,Moderate,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,83.51,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Moderate with score 35.43. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E067,I06,medium,P012,T12,,PM,10,200,5,4,68.08,67.93,Medium,Medium,2.733333333,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,2.8,2.8,2.6,2.73,0.01,1,Possible Textual Subjectivity Bias,77.65,0.65,0.04,0,-0.2,0.2,13.48,13.41,18.93,0,Bias-Linked Conflict,47.25,49,14.39,0,31.29,Low,Mixed or Weak Opinion Dynamics Signal,Mixed Culture,Accept Evaluation,64.62,Medium,Conflict type: Bias-Linked Conflict. Opinion dynamics pattern: Mixed or Weak Opinion Dynamics Signal. Power-distance risk is Low with score 31.29. Bias status: Possible Textual Subjectivity Bias. Final recommendation: Accept Evaluation.
E068,I06,medium,P012,T12,E067,SE,10,200,5,4,79.43,74.04,High,Medium,3.066666667,Communication Development Required,Communication Improvement Needed,Moderate Collaboration Pattern,Strong Leadership Pattern,Moderate Learning Pattern,Stable Productivity Pattern,3.2,3.2,2.8,3.07,0.05,0,No Major Bias Detected,84.5,0.31,0.07,0,-0.4,0.4,18.03,18.1,14.03,0,No Major Conflict,49.26,48,9.14,0,30.1,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,73.22,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 30.1. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E069,I06,medium,P012,T12,E067,SE,10,200,5,4,69.62,68.19,Medium,Medium,3.6,Learning-Oriented Contributor,Clear and Responsive Communicator,Moderate Collaboration Pattern,Low Leadership Visibility,Active Learning Pattern,Stable Productivity Pattern,3.6,3.4,3.8,3.6,0.04,0,No Major Bias Detected,83.9,0.33,0.08,-0.2,0.2,-0.4,-2.38,-2.38,5.99,0,No Major Conflict,38.89,46,19.63,0,29.33,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,73.43,Medium,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 29.33. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E070,I06,medium,P012,T12,E067,QA,10,200,5,4,71.78,70.28,Medium,Medium,4.266666667,Learning-Oriented Contributor,Moderate Communication Pattern,Moderate Collaboration Pattern,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,4,4.4,4.4,4.27,0.05,0,No Major Bias Detected,84.95,0.18,0.08,0.4,0.4,0,-13.62,-13.55,15.8,0,No Major Conflict,36.8,54,29.77,12.52,34.49,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,79.85,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 34.49. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
E071,I06,medium,P012,T12,E067,DevOps,10,200,5,4,70.62,70.93,Medium,Medium,3.733333333,Collaborative Leader,Communication Improvement Needed,Strong Team Collaboration Pattern,Strong Leadership Pattern,Active Learning Pattern,Stable Productivity Pattern,3.6,4,3.6,3.73,0.05,0,No Major Bias Detected,85.65,0.28,0.06,0.4,0,0.4,-3.98,-4.05,7,0,No Major Conflict,36.8,48,15.52,8.76,28.23,Low,Healthy Consensus Pattern,Mixed Culture,Accept Evaluation,75.23,High,Conflict type: No Major Conflict. Opinion dynamics pattern: Healthy Consensus Pattern. Power-distance risk is Low with score 28.23. Bias status: No Major Bias Detected. Final recommendation: Accept Evaluation.
